All calculations;Line 5;Line 5;Line 5;Line 5;Line 5;Line 5
"Time in s";"Phase Current A/Terminal j in kA";"Phase Current B/Terminal j in kA";"Phase Current C/Terminal j in kA";"Phase Voltage B/Terminal j in p.u.";"Phase Voltage C/Terminal j in p.u.";"Phase Voltage A/Terminal j in p.u."
-0,076500;-0,041113;0,202166;-0,161053;-1,007057;0,596561;0,410496
-0,076400;-0,048988;0,204633;-0,155645;-1,010391;0,565290;0,445100
-0,076300;-0,056794;0,206808;-0,150015;-1,012288;0,533217;0,479071
-0,076200;-0,064518;0,208690;-0,144172;-1,012747;0,500385;0,512362
-0,076100;-0,072151;0,210275;-0,138124;-1,011767;0,466842;0,544924
-0,076000;-0,079681;0,211561;-0,131880;-1,009349;0,432636;0,576712
-0,075900;-0,087098;0,212547;-0,125448;-1,005496;0,397815;0,607681
-0,075800;-0,094392;0,213230;-0,118838;-1,000215;0,362429;0,637786
-0,075700;-0,101551;0,213611;-0,112059;-0,993512;0,326528;0,666984
-0,075600;-0,108566;0,213688;-0,105121;-0,985398;0,290163;0,695235
-0,075500;-0,115427;0,213461;-0,098034;-0,975883;0,253386;0,722497
-0,075400;-0,122124;0,212931;-0,090807;-0,964982;0,216248;0,748733
-0,075300;-0,128647;0,212098;-0,083451;-0,952709;0,178804;0,773905
-0,075200;-0,134987;0,210964;-0,075977;-0,939082;0,141105;0,797977
-0,075100;-0,141136;0,209530;-0,068394;-0,924121;0,103206;0,820915
-0,075000;-0,147083;0,207798;-0,060715;-0,907847;0,065160;0,842687
-0,074900;-0,152822;0,205771;-0,052949;-0,890283;0,027021;0,863261
-0,074800;-0,158344;0,203452;-0,045108;-0,871453;-0,011156;0,882609
-0,074700;-0,163640;0,200843;-0,037203;-0,851385;-0,049317;0,900702
-0,074600;-0,168704;0,197949;-0,029245;-0,830107;-0,087408;0,917515
-0,074500;-0,173529;0,194774;-0,021245;-0,807650;-0,125375;0,933025
-0,074400;-0,178107;0,191322;-0,013215;-0,784045;-0,163163;0,947208
-0,074300;-0,182431;0,187598;-0,005167;-0,759326;-0,200720;0,960046
-0,074200;-0,186497;0,183607;0,002889;-0,733527;-0,237992;0,971519
-0,074100;-0,190297;0,179356;0,010941;-0,706687;-0,274925;0,981612
-0,074000;-0,193827;0,174849;0,018978;-0,678842;-0,311468;0,990310
-0,073900;-0,197081;0,170094;0,026987;-0,650032;-0,347568;0,997600
-0,073800;-0,200055;0,165097;0,034958;-0,620299;-0,383175;1,003473
-0,073700;-0,202745;0,159866;0,042879;-0,589684;-0,418236;1,007920
-0,073600;-0,205147;0,154408;0,050740;-0,558231;-0,452704;1,010935
-0,073500;-0,207258;0,148730;0,058528;-0,525985;-0,486528;1,012513
-0,073400;-0,209074;0,142841;0,066233;-0,492992;-0,519661;1,012653
-0,073300;-0,210593;0,136748;0,073844;-0,459298;-0,552055;1,011353
-0,073200;-0,211812;0,130462;0,081350;-0,424951;-0,583665;1,008616
-0,073100;-0,212731;0,123990;0,088741;-0,390000;-0,614445;1,004445
-0,073000;-0,213347;0,117342;0,096006;-0,354495;-0,644352;0,998848
-0,072900;-0,213660;0,110527;0,103133;-0,318487;-0,673344;0,991831
-0,072800;-0,213669;0,103555;0,110115;-0,282026;-0,701378;0,983404
-0,072700;-0,213375;0,096435;0,116940;-0,245164;-0,728416;0,973580
-0,072600;-0,212778;0,089179;0,123599;-0,207953;-0,754419;0,962373
-0,072500;-0,211878;0,081796;0,130082;-0,170448;-0,779350;0,949798
-0,072400;-0,210677;0,074297;0,136380;-0,132699;-0,803173;0,935873
-0,072300;-0,209177;0,066692;0,142485;-0,094763;-0,825855;0,920618
-0,072200;-0,207379;0,058992;0,148387;-0,056691;-0,847364;0,904055
-0,072100;-0,205287;0,051209;0,154078;-0,018539;-0,867668;0,886208
-0,072000;-0,202903;0,043353;0,159551;0,019639;-0,886739;0,867100
-0,071900;-0,200231;0,035435;0,164796;0,057789;-0,904550;0,846761
-0,071800;-0,197274;0,027466;0,169808;0,095858;-0,921076;0,825218
-0,071700;-0,194037;0,019459;0,174578;0,133790;-0,936293;0,802503
-0,071600;-0,190524;0,011424;0,179100;0,171532;-0,950179;0,778647
-0,071500;-0,186740;0,003373;0,183367;0,209030;-0,962715;0,753685
-0,071400;-0,182691;-0,004684;0,187374;0,246231;-0,973883;0,727652
-0,071300;-0,178382;-0,012733;0,191115;0,283082;-0,983667;0,700585
-0,071200;-0,173820;-0,020764;0,194584;0,319531;-0,992053;0,672522
-0,071100;-0,169011;-0,028766;0,197777;0,355526;-0,999029;0,643503
-0,071000;-0,163961;-0,036727;0,200688;0,391016;-1,004586;0,613570
-0,070900;-0,158679;-0,044636;0,203315;0,425950;-1,008715;0,582765
-0,070800;-0,153171;-0,052481;0,205652;0,460278;-1,011410;0,551132
-0,070700;-0,147445;-0,060252;0,207697;0,493953;-1,012668;0,518716
-0,070600;-0,141510;-0,067937;0,209447;0,526925;-1,012488;0,485562
-0,070500;-0,135374;-0,075526;0,210900;0,559149;-1,010868;0,451719
-0,070400;-0,129045;-0,083008;0,212052;0,590578;-1,007812;0,417234
-0,070300;-0,122533;-0,090371;0,212904;0,621168;-1,003324;0,382156
-0,070200;-0,115847;-0,097606;0,213453;0,650876;-0,997410;0,346534
-0,070100;-0,108996;-0,104702;0,213698;0,679658;-0,990079;0,310421
-0,070000;-0,101990;-0,111650;0,213640;0,707474;-0,981341;0,273866
-0,069900;-0,094840;-0,118439;0,213279;0,734286;-0,971208;0,236922
-0,069800;-0,087555;-0,125059;0,212614;0,760053;-0,959695;0,199642
-0,069700;-0,080145;-0,131502;0,211647;0,784741;-0,946818;0,162077
-0,069600;-0,072621;-0,137758;0,210379;0,808313;-0,932596;0,124283
-0,069500;-0,064994;-0,143819;0,208813;0,830737;-0,917049;0,086311
-0,069400;-0,057275;-0,149675;0,206949;0,851981;-0,900198;0,048218
-0,069300;-0,049474;-0,155318;0,204792;0,872013;-0,882068;0,010055
-0,069200;-0,041603;-0,160740;0,202343;0,890806;-0,862685;-0,028121
-0,069100;-0,033673;-0,165935;0,199607;0,908334;-0,842076;-0,066258
-0,069000;-0,025695;-0,170893;0,196588;0,924571;-0,820270;-0,104301
-0,068900;-0,017680;-0,175608;0,193289;0,939494;-0,797299;-0,142195
-0,068800;-0,009641;-0,180074;0,189715;0,953081;-0,773194;-0,179887
-0,068700;-0,001588;-0,184284;0,185872;0,965315;-0,747991;-0,217324
-0,068600;0,006468;-0,188233;0,181765;0,976176;-0,721725;-0,254452
-0,068500;0,014514;-0,191913;0,177399;0,985651;-0,694433;-0,291218
-0,068400;0,022540;-0,195322;0,172781;0,993725;-0,666154;-0,327571
-0,068300;0,030534;-0,198452;0,167918;1,000386;-0,636929;-0,363458
-0,068200;0,038485;-0,201301;0,162816;1,005626;-0,606798;-0,398828
-0,068100;0,046380;-0,203863;0,157483;1,009437;-0,575806;-0,433632
-0,068000;0,054210;-0,206136;0,151926;1,011814;-0,543995;-0,467819
-0,067900;0,061963;-0,208116;0,146153;1,012753;-0,511411;-0,501342
-0,067800;0,069628;-0,209800;0,140172;1,012252;-0,478100;-0,534152
-0,067700;0,077193;-0,211186;0,133993;1,010313;-0,444110;-0,566203
-0,067600;0,084649;-0,212272;0,127622;1,006939;-0,409488;-0,597450
-0,067500;0,091985;-0,213056;0,121071;1,002133;-0,374285;-0,627848
-0,067400;0,099190;-0,213537;0,114347;0,995903;-0,338550;-0,657353
-0,067300;0,106254;-0,213716;0,107461;0,988259;-0,302334;-0,685924
-0,067200;0,113168;-0,213590;0,100422;0,979209;-0,265688;-0,713521
-0,067100;0,119920;-0,213161;0,093241;0,968769;-0,228665;-0,740104
-0,067000;0,126502;-0,212429;0,085927;0,956951;-0,191317;-0,765634
-0,066900;0,132904;-0,211395;0,078491;0,943774;-0,153696;-0,790077
-0,066800;0,139118;-0,210061;0,070943;0,929255;-0,115858;-0,813397
-0,066700;0,145133;-0,208428;0,063295;0,913416;-0,077855;-0,835562
-0,066600;0,150943;-0,206499;0,055556;0,896279;-0,039741;-0,856538
-0,066500;0,156538;-0,204277;0,047739;0,877868;-0,001570;-0,876298
-0,066400;0,161910;-0,201764;0,039854;0,858210;0,036602;-0,894813
-0,066300;0,167052;-0,198965;0,031912;0,837332;0,074723;-0,912055
-0,066200;0,171957;-0,195883;0,023925;0,815265;0,112737;-0,928002
-0,066100;0,176618;-0,192522;0,015904;0,792039;0,150591;-0,942630
-0,066000;0,181028;-0,188888;0,007860;0,767687;0,188232;-0,955918
-0,065900;0,185181;-0,184986;-0,000195;0,742244;0,225604;-0,967848
-0,065800;0,189070;-0,180820;-0,008249;0,715747;0,262656;-0,978403
-0,065700;0,192690;-0,176398;-0,016292;0,688232;0,299335;-0,987567
-0,065600;0,196037;-0,171725;-0,024312;0,659739;0,335588;-0,995328
-0,065500;0,199105;-0,166808;-0,032297;0,630309;0,371365;-1,001674
-0,065400;0,201891;-0,161654;-0,040236;0,599984;0,406614;-1,006597
-0,065300;0,204389;-0,156271;-0,048118;0,568805;0,441285;-1,010090
-0,065200;0,206597;-0,150665;-0,055932;0,536819;0,475329;-1,012147
-0,065100;0,208511;-0,144845;-0,063666;0,504069;0,508697;-1,012766
-0,065000;0,210129;-0,138819;-0,071310;0,470603;0,541343;-1,011946
-0,064900;0,211449;-0,132597;-0,078852;0,436469;0,573219;-1,009687
